Country,ISO3,indicateur_perf_logistique,pib_par_hab,stab_politique,population,tx_urbanisation,tarif_douanier_moyen,emissions_agri_pc,organic_share,hfce_per_capita_usd_const2015
St. Lucia,LCA,,24599.3733001067,1.03362321853638,178781.0,19.05,,55.930286,0.2,
Latin America & Caribbean,LCN,2.692,20813.0537801243,,653104795.0,81.5649153564557,,,,6059.49495261225
Least developed countries: UN classification,LDC,2.42083333333333,4032.43224770797,,1134585604.0,35.8497135775292,,,,756.928467211688
Low income,LIC,2.37333333333333,2256.12042449329,,591481496.0,37.1420380582929,,,,528.175426847959
Liechtenstein,LIE,,,1.64275300502777,39493.0,14.538,,0.0,30.08,
Sri Lanka,LKA,2.8,14193.6546217446,-0.80430680513382,22181000.0,19.026,,59.55779,2.42,2671.31219282575
Lower middle income,LMC,2.63103448275862,8616.13578345939,,3043358377.0,40.4516375248882,,,,1544.52867812016
Low & middle income,LMY,2.65,13694.3605561384,,6438272260.0,52.1006417998491,,,,2757.25712600919
Lesotho,LSO,,2761.31105002216,-0.292736917734146,2286110.0,29.943,4.19,161.84685,,792.853487136375
Late-demographic dividend,LTE,3.01025641025641,24475.6214975723,,2324125644.0,65.6035316403987,,,,4986.684256336
Lithuania,LTU,3.4,50498.3823963346,0.653032541275024,2831639.0,68.465,1.95,1182.1409,9.32,11197.1947714045
Luxembourg,LUX,3.6,143381.897533689,1.06439006328583,653103.0,91.881,,244.90483,6.23,34949.1251693932
Latvia,LVA,3.5,39960.8443388997,0.48640912771225,1879383.0,68.54,1.95,1015.38544,15.88,10491.2630539869
"Macao SAR, China",MAC,,64373.9256913291,1.12270271778107,677300.0,100.0,0.0,,,16707.4059136416
St. Martin (French part),MAF,,,,28870.0,,,,,
Morocco,MAR,,9283.92578125,-0.362119138240814,37329064.0,64.596,,173.85915,0.06,1920.11962890625
Monaco,MCO,,,1.18703246116638,38931.0,100.0,,,,
Moldova,MDA,2.5,16452.9621236034,-0.659070193767548,2528654.0,43.173,2.37,236.8432,1.28,3217.69703076582
Madagascar,MDG,2.3,1716.9788487377,-0.480796605348587,30437261.0,39.882,10.03,199.42662,0.28,321.632578626271
Maldives,MDV,,22880.5123176079,0.645002782344818,524106.0,41.536,9.73,0.0,,5111.07352500769
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2.88823529411765,15045.958467255,,782349366.0,54.9664853093317,,,,3039.46245148677
Mexico,MEX,2.9,23379.7338940539,-0.689268112182617,128613117.0,81.3,2.69,246.7089,0.45,7095.72122965403
Marshall Islands,MHL,,7332.30020846945,1.0159205198288,40077.0,78.52,,0.0,,4151.0167926741
Middle income,MIC,2.71194029850746,14857.7324251218,,5846790764.0,53.6143634433195,,,,2985.07849562816
North Macedonia,MKD,3.1,24067.4939774976,0.180839285254478,1831712.0,59.118,3.65,168.45665,0.69,4767.18637064016
Mali,MLI,2.6,3008.75554617553,-2.56074357032776,23072640.0,45.437,12.22,537.43304,0.04,658.560342578236
Malta,MLT,3.3,60489.4615184214,0.911014318466187,531113.0,94.875,1.95,37.864876,0.75,14900.3093609933
Myanmar,MMR,,5731.93787872459,-2.19571399688721,53756787.0,31.771,2.98,186.7671,0.08,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2.36666666666667,10230.4485950996,,716508657.0,51.8947837283828,,,,1984.14459248032
Montenegro,MNE,2.8,27597.0529627387,-0.140881478786469,623591.0,68.164,1.88,130.15558,1.56,6614.13742187217
Mongolia,MNG,2.5,16401.9894751531,0.529954373836517,3433748.0,68.93,5.04,3833.4146,0.0,2729.77622482087
Northern Mariana Islands,MNP,,,,46078.0,91.983,,,,13900.7534814644
Mozambique,MOZ,,1581.9441944262,-1.26560831069946,32656246.0,38.187,,272.84216,0.04,432.255915602179
Mauritania,MRT,2.3,6484.82792721164,-0.516949355602264,4875637.0,56.923,12.91,578.38513,,999.584331552157
,MTQ,,,,,,,,3.36,
Mauritius,MUS,2.5,26556.0768591826,0.830023586750031,1262523.0,40.81,1.07,78.36168,0.01,7069.03900707536
Malawi,MWI,,1778.30582146001,-0.157983273267746,20568728.0,17.98,,216.34781,0.01,
Malaysia,MYS,3.6,34366.2284812574,0.163117811083794,34695493.0,78.214,5.43,146.4167,0.02,6712.48225689278
,MYT,,,,,,,,3.63,
North America,NAC,3.9,76374.8179426874,,373018004.0,82.9479010196301,,,,42507.5851899708
Namibia,NAM,2.9,10662.7017045783,0.559885740280151,2889662.0,53.956,7.09,892.8361,0.0,3282.540527874
New Caledonia,NCL,,,,287123.0,72.325,,,0.43,
Niger,NER,,1839.96909675903,-1.46439230442047,25311973.0,16.894,10.74,473.2937,,389.436232875861
Nigeria,NGA,2.6,5948.72614706809,-1.77890145778656,223150896.0,53.521,11.9,124.71381,0.09,
Nicaragua,NIC,2.5,7796.69362034144,-0.35851177573204,6730654.0,59.556,2.98,442.7499,0.61,1587.45376051703
,NIU,,,,,,,0.0,2.44,
Netherlands,NLD,4.1,77152.2237613361,0.726799547672272,17700982.0,92.886,1.95,337.9054,4.44,21588.1381373973
Norway,NOR,3.7,123150.172908009,0.86123925447464,5457127.0,83.664,2.57,456.31174,4.67,34130.9518972216
Nepal,NPL,,5102.99231132947,-0.239196881651878,29715436.0,21.451,13.64,171.62798,0.69,986.573277366515
Nauru,NRU,,13346.9840294703,0.877918004989624,11801.0,100.0,,0.0,,
New Zealand,NZL,3.6,53647.3428142934,1.32116913795471,5117100.0,86.884,2.27,2410.4927,0.81,25981.005559025
OECD members,OED,3.63421052631579,56289.175536949,,1379097485.0,81.4656772954836,,,,23841.3988434094
Oman,OMN,3.3,42616.3348955868,0.532249212265015,4730226.0,87.75,3.18,137.41406,,7983.17171767253
Other small states,OSS,3.025,26095.6235761752,,12699005.0,55.5597027670278,,,,6711.30615617807
Pakistan,PAK,,5920.27430654107,-1.83982634544373,243700667.0,37.731,10.97,238.65343,0.19,1482.26434474407
Panama,PAN,3.1,36245.145655104,0.289221227169037,4400773.0,69.141,5.93,227.2327,0.26,7504.48020789985
Peru,PER,3.0,16669.1561486769,-0.487095445394516,33475438.0,78.708,1.1,225.23978,,4440.88284734463
Philippines,PHL,3.3,10131.346369794,-0.655268549919128,113964338.0,47.977,3.94,90.99337,1.8,2573.21611321314
Palau,PLW,,16581.0217875971,1.08399426937103,17759.0,81.956,,0.0,,11220.0394559978
Papua New Guinea,PNG,2.7,4419.61926962803,-0.659367442131042,10203169.0,13.582,,143.09268,1.4,
Poland,POL,3.6,46077.3855556036,0.505146443843842,36821749.0,60.134,1.95,433.23386,3.91,9942.08535508807
Pre-demographic dividend,PRE,2.39,4364.73218533099,,1051201551.0,43.6418701367517,,,,
Puerto Rico (US),PRI,,45327.510192422,0.542631983757019,3220137.0,93.61,,,0.01,25546.1801829507
"Korea, Dem. People's Rep.",PRK,,,-0.430811017751694,26328845.0,62.916,,45.577393,,
Portugal,PRT,3.4,44557.281053572,0.795802593231201,10434332.0,67.381,1.95,171.83328,7.87,14286.1858238291
Paraguay,PRY,2.7,16347.0434974739,0.0355493128299713,6760464.0,62.818,8.27,1174.4763,0.7,4123.59060405199
West Bank and Gaza,PSE,,6163.24897837613,-1.70195543766022,5043612.0,77.291,,,1.23,3081.40277245752
Pacific island small states,PSS,2.55,7370.84148976848,,2656049.0,39.2714686784769,,,,
